;// Name;; Vorname;;Geburtsjahr;;Platz;;Partei;;;;Land;;;;;;Wkr;;;
AAAA;Barth;BBBB;Ingolf Johannes;CCCC;1966;DDDD;8;EEEE;PBC;FFFF;2005;ZZZZ;SN;GGGG;2005;HHHH;PBC;II11;;;2005;FINEFINE
AAAA;Barth;BBBB;Uwe;CCCC;1964;DDDD;1;EEEE;FDP;FFFF;2005;ZZZZ;TH;GGGG;2005;HHHH;FDP;IIII;195;JJJJ;2005;FINEFINE
AAAA;Barthel;BBBB;Klaus;CCCC;1955;DDDD;11;EEEE;SPD;FFFF;2005;ZZZZ;BY;GGGG;2005;HHHH;SPD;IIII;225;JJJJ;2005;FINEFINE
AAAA;Barthle;BBBB;Norbert;CCCC;1952;DDDD;0;EEEE;CDU;FF11;;;;;;;;IIII;270;JJJJ;2005;FINEFINE
AAAA;Bartholome;BBBB;Anna Monika;CCCC;1949;DDDD;1;EEEE;MLPD;FFFF;2005;ZZZZ;RP;GGGG;2005;HHHH;MLPD;II11;;;2005;FINEFINE
AAAA;Bartl;BBBB;Klaus Helmut Paul;CCCC;1950;DDDD;0;EEEE;DIE LINKE;FF11;;;;;;;;IIII;164;JJJJ;2005;FINEFINE
AAAA;Bartl;BBBB;Manfred;CCCC;1970;DDDD;0;EEEE;OHNE PARTEI;FF11;;;;;;;;IIII;207;JJJJ;2005;FINEFINE
AAAA;Bartl;BBBB;Theodor;CCCC;1950;DDDD;9;EEEE;NPD;FFFF;2005;ZZZZ;RP;GGGG;2005;HHHH;NPD;II11;;;2005;FINEFINE
AAAA;Bartol;BBBB;Sören;CCCC;1974;DDDD;12;EEEE;SPD;FFFF;2005;ZZZZ;HE;GGGG;2005;HHHH;SPD;IIII;173;JJJJ;2005;FINEFINE
AAAA;Bartsch;BBBB;Dr. Dietmar Gerhard;CCCC;1958;DDDD;1;EEEE;DIE LINKE;FFFF;2005;ZZZZ;MV;GGGG;2005;HHHH;DIE LINKE;IIII;13;JJJJ;2005;FINEFINE
AAAA;Bas;BBBB;Bärbel;CCCC;1968;DDDD;68;EEEE;SPD;FFFF;2005;ZZZZ;NW;GGGG;2005;HHHH;SPD;II11;;;2005;FINEFINE
